scenario,mechanism,year,bundle_days
active_denominator_any_coverage,Coherent,2000,4
active_denominator_any_coverage,Coherent,2001,1
active_denominator_any_coverage,Coherent,2002,9
active_denominator_any_coverage,Coherent,2003,11
active_denominator_any_coverage,Coherent,2004,4
active_denominator_any_coverage,Coherent,2005,7
active_denominator_any_coverage,Coherent,2006,14
active_denominator_any_coverage,Coherent,2007,7
active_denominator_any_coverage,Coherent,2008,1
active_denominator_any_coverage,Coherent,2009,9
active_denominator_any_coverage,Coherent,2010,69
active_denominator_any_coverage,Coherent,2011,11
active_denominator_any_coverage,Coherent,2012,6
active_denominator_any_coverage,Coherent,2013,9
active_denominator_any_coverage,Coherent,2014,5
active_denominator_any_coverage,Coherent,2015,21
active_denominator_any_coverage,Coherent,2016,106
active_denominator_any_coverage,Coherent,2017,50
active_denominator_any_coverage,Coherent,2018,55
active_denominator_any_coverage,Coherent,2019,100
active_denominator_any_coverage,Coherent,2020,84
active_denominator_any_coverage,Coherent,2021,36
active_denominator_any_coverage,Coherent,2022,87
active_denominator_any_coverage,Coherent,2023,176
active_denominator_any_coverage,Coherent,2024,66
active_denominator_any_coverage,Dipole,2000,12
active_denominator_any_coverage,Dipole,2001,10
active_denominator_any_coverage,Dipole,2002,18
active_denominator_any_coverage,Dipole,2003,18
active_denominator_any_coverage,Dipole,2004,11
active_denominator_any_coverage,Dipole,2005,16
active_denominator_any_coverage,Dipole,2006,14
active_denominator_any_coverage,Dipole,2007,9
active_denominator_any_coverage,Dipole,2008,3
active_denominator_any_coverage,Dipole,2009,4
active_denominator_any_coverage,Dipole,2010,39
active_denominator_any_coverage,Dipole,2011,7
active_denominator_any_coverage,Dipole,2012,23
active_denominator_any_coverage,Dipole,2013,30
active_denominator_any_coverage,Dipole,2014,6
active_denominator_any_coverage,Dipole,2015,23
active_denominator_any_coverage,Dipole,2016,20
active_denominator_any_coverage,Dipole,2017,26
active_denominator_any_coverage,Dipole,2018,17
active_denominator_any_coverage,Dipole,2019,36
active_denominator_any_coverage,Dipole,2020,38
active_denominator_any_coverage,Dipole,2021,42
active_denominator_any_coverage,Dipole,2022,23
active_denominator_any_coverage,Dipole,2023,40
active_denominator_any_coverage,Dipole,2024,7
active_denominator_min50pct_coverage,Coherent,2000,0
active_denominator_min50pct_coverage,Coherent,2001,1
active_denominator_min50pct_coverage,Coherent,2002,0
active_denominator_min50pct_coverage,Coherent,2003,2
active_denominator_min50pct_coverage,Coherent,2004,0
active_denominator_min50pct_coverage,Coherent,2005,0
active_denominator_min50pct_coverage,Coherent,2006,11
active_denominator_min50pct_coverage,Coherent,2007,1
active_denominator_min50pct_coverage,Coherent,2008,1
active_denominator_min50pct_coverage,Coherent,2009,2
active_denominator_min50pct_coverage,Coherent,2010,14
active_denominator_min50pct_coverage,Coherent,2011,5
active_denominator_min50pct_coverage,Coherent,2012,4
active_denominator_min50pct_coverage,Coherent,2013,3
active_denominator_min50pct_coverage,Coherent,2014,1
active_denominator_min50pct_coverage,Coherent,2015,10
active_denominator_min50pct_coverage,Coherent,2016,10
active_denominator_min50pct_coverage,Coherent,2017,13
active_denominator_min50pct_coverage,Coherent,2018,50
active_denominator_min50pct_coverage,Coherent,2019,29
active_denominator_min50pct_coverage,Coherent,2020,24
active_denominator_min50pct_coverage,Coherent,2021,17
active_denominator_min50pct_coverage,Coherent,2022,53
active_denominator_min50pct_coverage,Coherent,2023,67
active_denominator_min50pct_coverage,Coherent,2024,0
active_denominator_min50pct_coverage,Dipole,2000,0
active_denominator_min50pct_coverage,Dipole,2001,0
active_denominator_min50pct_coverage,Dipole,2002,0
active_denominator_min50pct_coverage,Dipole,2003,0
active_denominator_min50pct_coverage,Dipole,2004,0
active_denominator_min50pct_coverage,Dipole,2005,0
active_denominator_min50pct_coverage,Dipole,2006,0
active_denominator_min50pct_coverage,Dipole,2007,0
active_denominator_min50pct_coverage,Dipole,2008,0
active_denominator_min50pct_coverage,Dipole,2009,0
active_denominator_min50pct_coverage,Dipole,2010,0
active_denominator_min50pct_coverage,Dipole,2011,0
active_denominator_min50pct_coverage,Dipole,2012,4
active_denominator_min50pct_coverage,Dipole,2013,6
active_denominator_min50pct_coverage,Dipole,2014,3
active_denominator_min50pct_coverage,Dipole,2015,15
active_denominator_min50pct_coverage,Dipole,2016,3
active_denominator_min50pct_coverage,Dipole,2017,8
active_denominator_min50pct_coverage,Dipole,2018,2
active_denominator_min50pct_coverage,Dipole,2019,19
active_denominator_min50pct_coverage,Dipole,2020,10
active_denominator_min50pct_coverage,Dipole,2021,20
active_denominator_min50pct_coverage,Dipole,2022,13
active_denominator_min50pct_coverage,Dipole,2023,15
active_denominator_min50pct_coverage,Dipole,2024,3
active_denominator_min80pct_coverage,Coherent,2000,0
active_denominator_min80pct_coverage,Coherent,2001,0
active_denominator_min80pct_coverage,Coherent,2002,0
active_denominator_min80pct_coverage,Coherent,2003,0
active_denominator_min80pct_coverage,Coherent,2004,0
active_denominator_min80pct_coverage,Coherent,2005,0
active_denominator_min80pct_coverage,Coherent,2006,0
active_denominator_min80pct_coverage,Coherent,2007,0
active_denominator_min80pct_coverage,Coherent,2008,0
active_denominator_min80pct_coverage,Coherent,2009,0
active_denominator_min80pct_coverage,Coherent,2010,8
active_denominator_min80pct_coverage,Coherent,2011,1
active_denominator_min80pct_coverage,Coherent,2012,2
active_denominator_min80pct_coverage,Coherent,2013,0
active_denominator_min80pct_coverage,Coherent,2014,0
active_denominator_min80pct_coverage,Coherent,2015,6
active_denominator_min80pct_coverage,Coherent,2016,0
active_denominator_min80pct_coverage,Coherent,2017,5
active_denominator_min80pct_coverage,Coherent,2018,15
active_denominator_min80pct_coverage,Coherent,2019,19
active_denominator_min80pct_coverage,Coherent,2020,21
active_denominator_min80pct_coverage,Coherent,2021,7
active_denominator_min80pct_coverage,Coherent,2022,34
active_denominator_min80pct_coverage,Coherent,2023,50
active_denominator_min80pct_coverage,Coherent,2024,0
active_denominator_min80pct_coverage,Dipole,2000,0
active_denominator_min80pct_coverage,Dipole,2001,0
active_denominator_min80pct_coverage,Dipole,2002,0
active_denominator_min80pct_coverage,Dipole,2003,0
active_denominator_min80pct_coverage,Dipole,2004,0
active_denominator_min80pct_coverage,Dipole,2005,0
active_denominator_min80pct_coverage,Dipole,2006,0
active_denominator_min80pct_coverage,Dipole,2007,0
active_denominator_min80pct_coverage,Dipole,2008,0
active_denominator_min80pct_coverage,Dipole,2009,0
active_denominator_min80pct_coverage,Dipole,2010,0
active_denominator_min80pct_coverage,Dipole,2011,0
active_denominator_min80pct_coverage,Dipole,2012,0
active_denominator_min80pct_coverage,Dipole,2013,0
active_denominator_min80pct_coverage,Dipole,2014,0
active_denominator_min80pct_coverage,Dipole,2015,0
active_denominator_min80pct_coverage,Dipole,2016,0
active_denominator_min80pct_coverage,Dipole,2017,4
active_denominator_min80pct_coverage,Dipole,2018,2
active_denominator_min80pct_coverage,Dipole,2019,11
active_denominator_min80pct_coverage,Dipole,2020,3
active_denominator_min80pct_coverage,Dipole,2021,10
active_denominator_min80pct_coverage,Dipole,2022,9
active_denominator_min80pct_coverage,Dipole,2023,8
active_denominator_min80pct_coverage,Dipole,2024,0
annual_urban_active_denominator,Coherent,2000,1
annual_urban_active_denominator,Coherent,2001,1
annual_urban_active_denominator,Coherent,2002,3
annual_urban_active_denominator,Coherent,2003,3
annual_urban_active_denominator,Coherent,2004,0
annual_urban_active_denominator,Coherent,2005,2
annual_urban_active_denominator,Coherent,2006,14
annual_urban_active_denominator,Coherent,2007,5
annual_urban_active_denominator,Coherent,2008,1
annual_urban_active_denominator,Coherent,2009,4
annual_urban_active_denominator,Coherent,2010,17
annual_urban_active_denominator,Coherent,2011,7
annual_urban_active_denominator,Coherent,2012,4
annual_urban_active_denominator,Coherent,2013,2
annual_urban_active_denominator,Coherent,2014,0
annual_urban_active_denominator,Coherent,2015,10
annual_urban_active_denominator,Coherent,2016,9
annual_urban_active_denominator,Coherent,2017,11
annual_urban_active_denominator,Coherent,2018,43
annual_urban_active_denominator,Coherent,2019,21
annual_urban_active_denominator,Coherent,2020,19
annual_urban_active_denominator,Coherent,2021,12
annual_urban_active_denominator,Coherent,2022,47
annual_urban_active_denominator,Coherent,2023,74
annual_urban_active_denominator,Coherent,2024,5
annual_urban_active_denominator,Dipole,2000,0
annual_urban_active_denominator,Dipole,2001,2
annual_urban_active_denominator,Dipole,2002,14
annual_urban_active_denominator,Dipole,2003,15
annual_urban_active_denominator,Dipole,2004,2
annual_urban_active_denominator,Dipole,2005,1
annual_urban_active_denominator,Dipole,2006,5
annual_urban_active_denominator,Dipole,2007,2
annual_urban_active_denominator,Dipole,2008,1
annual_urban_active_denominator,Dipole,2009,4
annual_urban_active_denominator,Dipole,2010,23
annual_urban_active_denominator,Dipole,2011,5
annual_urban_active_denominator,Dipole,2012,10
annual_urban_active_denominator,Dipole,2013,23
annual_urban_active_denominator,Dipole,2014,3
annual_urban_active_denominator,Dipole,2015,13
annual_urban_active_denominator,Dipole,2016,3
annual_urban_active_denominator,Dipole,2017,6
annual_urban_active_denominator,Dipole,2018,2
annual_urban_active_denominator,Dipole,2019,17
annual_urban_active_denominator,Dipole,2020,7
annual_urban_active_denominator,Dipole,2021,14
annual_urban_active_denominator,Dipole,2022,11
annual_urban_active_denominator,Dipole,2023,10
annual_urban_active_denominator,Dipole,2024,0
annual_urban_active_denominator_min50pct_coverage,Coherent,2000,0
annual_urban_active_denominator_min50pct_coverage,Coherent,2001,1
annual_urban_active_denominator_min50pct_coverage,Coherent,2002,0
annual_urban_active_denominator_min50pct_coverage,Coherent,2003,2
annual_urban_active_denominator_min50pct_coverage,Coherent,2004,0
annual_urban_active_denominator_min50pct_coverage,Coherent,2005,1
annual_urban_active_denominator_min50pct_coverage,Coherent,2006,11
annual_urban_active_denominator_min50pct_coverage,Coherent,2007,5
annual_urban_active_denominator_min50pct_coverage,Coherent,2008,1
annual_urban_active_denominator_min50pct_coverage,Coherent,2009,4
annual_urban_active_denominator_min50pct_coverage,Coherent,2010,17
annual_urban_active_denominator_min50pct_coverage,Coherent,2011,7
annual_urban_active_denominator_min50pct_coverage,Coherent,2012,4
annual_urban_active_denominator_min50pct_coverage,Coherent,2013,2
annual_urban_active_denominator_min50pct_coverage,Coherent,2014,0
annual_urban_active_denominator_min50pct_coverage,Coherent,2015,10
annual_urban_active_denominator_min50pct_coverage,Coherent,2016,9
annual_urban_active_denominator_min50pct_coverage,Coherent,2017,11
annual_urban_active_denominator_min50pct_coverage,Coherent,2018,43
annual_urban_active_denominator_min50pct_coverage,Coherent,2019,21
annual_urban_active_denominator_min50pct_coverage,Coherent,2020,19
annual_urban_active_denominator_min50pct_coverage,Coherent,2021,12
annual_urban_active_denominator_min50pct_coverage,Coherent,2022,47
annual_urban_active_denominator_min50pct_coverage,Coherent,2023,74
annual_urban_active_denominator_min50pct_coverage,Coherent,2024,5
annual_urban_active_denominator_min50pct_coverage,Dipole,2000,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2001,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2002,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2003,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2004,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2005,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2006,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2007,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2008,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2009,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2010,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2011,0
annual_urban_active_denominator_min50pct_coverage,Dipole,2012,3
annual_urban_active_denominator_min50pct_coverage,Dipole,2013,5
annual_urban_active_denominator_min50pct_coverage,Dipole,2014,3
annual_urban_active_denominator_min50pct_coverage,Dipole,2015,13
annual_urban_active_denominator_min50pct_coverage,Dipole,2016,3
annual_urban_active_denominator_min50pct_coverage,Dipole,2017,6
annual_urban_active_denominator_min50pct_coverage,Dipole,2018,2
annual_urban_active_denominator_min50pct_coverage,Dipole,2019,17
annual_urban_active_denominator_min50pct_coverage,Dipole,2020,7
annual_urban_active_denominator_min50pct_coverage,Dipole,2021,14
annual_urban_active_denominator_min50pct_coverage,Dipole,2022,11
annual_urban_active_denominator_min50pct_coverage,Dipole,2023,10
annual_urban_active_denominator_min50pct_coverage,Dipole,2024,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2000,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2001,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2002,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2003,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2004,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2005,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2006,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2007,1
annual_urban_active_denominator_min80pct_coverage,Coherent,2008,1
annual_urban_active_denominator_min80pct_coverage,Coherent,2009,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2010,8
annual_urban_active_denominator_min80pct_coverage,Coherent,2011,1
annual_urban_active_denominator_min80pct_coverage,Coherent,2012,2
annual_urban_active_denominator_min80pct_coverage,Coherent,2013,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2014,0
annual_urban_active_denominator_min80pct_coverage,Coherent,2015,10
annual_urban_active_denominator_min80pct_coverage,Coherent,2016,9
annual_urban_active_denominator_min80pct_coverage,Coherent,2017,11
annual_urban_active_denominator_min80pct_coverage,Coherent,2018,43
annual_urban_active_denominator_min80pct_coverage,Coherent,2019,21
annual_urban_active_denominator_min80pct_coverage,Coherent,2020,19
annual_urban_active_denominator_min80pct_coverage,Coherent,2021,12
annual_urban_active_denominator_min80pct_coverage,Coherent,2022,47
annual_urban_active_denominator_min80pct_coverage,Coherent,2023,74
annual_urban_active_denominator_min80pct_coverage,Coherent,2024,5
annual_urban_active_denominator_min80pct_coverage,Dipole,2000,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2001,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2002,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2003,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2004,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2005,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2006,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2007,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2008,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2009,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2010,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2011,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2012,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2013,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2014,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2015,0
annual_urban_active_denominator_min80pct_coverage,Dipole,2016,3
annual_urban_active_denominator_min80pct_coverage,Dipole,2017,6
annual_urban_active_denominator_min80pct_coverage,Dipole,2018,2
annual_urban_active_denominator_min80pct_coverage,Dipole,2019,17
annual_urban_active_denominator_min80pct_coverage,Dipole,2020,7
annual_urban_active_denominator_min80pct_coverage,Dipole,2021,14
annual_urban_active_denominator_min80pct_coverage,Dipole,2022,11
annual_urban_active_denominator_min80pct_coverage,Dipole,2023,10
annual_urban_active_denominator_min80pct_coverage,Dipole,2024,0
fixed_denominator_recomputed,Coherent,2000,0
fixed_denominator_recomputed,Coherent,2001,1
fixed_denominator_recomputed,Coherent,2002,0
fixed_denominator_recomputed,Coherent,2003,0
fixed_denominator_recomputed,Coherent,2004,0
fixed_denominator_recomputed,Coherent,2005,2
fixed_denominator_recomputed,Coherent,2006,10
fixed_denominator_recomputed,Coherent,2007,0
fixed_denominator_recomputed,Coherent,2008,0
fixed_denominator_recomputed,Coherent,2009,4
fixed_denominator_recomputed,Coherent,2010,10
fixed_denominator_recomputed,Coherent,2011,4
fixed_denominator_recomputed,Coherent,2012,2
fixed_denominator_recomputed,Coherent,2013,1
fixed_denominator_recomputed,Coherent,2014,0
fixed_denominator_recomputed,Coherent,2015,10
fixed_denominator_recomputed,Coherent,2016,9
fixed_denominator_recomputed,Coherent,2017,11
fixed_denominator_recomputed,Coherent,2018,39
fixed_denominator_recomputed,Coherent,2019,21
fixed_denominator_recomputed,Coherent,2020,19
fixed_denominator_recomputed,Coherent,2021,12
fixed_denominator_recomputed,Coherent,2022,47
fixed_denominator_recomputed,Coherent,2023,74
fixed_denominator_recomputed,Coherent,2024,5
fixed_denominator_recomputed,Dipole,2000,0
fixed_denominator_recomputed,Dipole,2001,0
fixed_denominator_recomputed,Dipole,2002,2
fixed_denominator_recomputed,Dipole,2003,0
fixed_denominator_recomputed,Dipole,2004,0
fixed_denominator_recomputed,Dipole,2005,0
fixed_denominator_recomputed,Dipole,2006,0
fixed_denominator_recomputed,Dipole,2007,0
fixed_denominator_recomputed,Dipole,2008,0
fixed_denominator_recomputed,Dipole,2009,2
fixed_denominator_recomputed,Dipole,2010,9
fixed_denominator_recomputed,Dipole,2011,1
fixed_denominator_recomputed,Dipole,2012,2
fixed_denominator_recomputed,Dipole,2013,13
fixed_denominator_recomputed,Dipole,2014,1
fixed_denominator_recomputed,Dipole,2015,9
fixed_denominator_recomputed,Dipole,2016,2
fixed_denominator_recomputed,Dipole,2017,4
fixed_denominator_recomputed,Dipole,2018,2
fixed_denominator_recomputed,Dipole,2019,17
fixed_denominator_recomputed,Dipole,2020,7
fixed_denominator_recomputed,Dipole,2021,14
fixed_denominator_recomputed,Dipole,2022,11
fixed_denominator_recomputed,Dipole,2023,10
fixed_denominator_recomputed,Dipole,2024,0
stable_urban_core_active_denominator,Coherent,2000,4
stable_urban_core_active_denominator,Coherent,2001,1
stable_urban_core_active_denominator,Coherent,2002,9
stable_urban_core_active_denominator,Coherent,2003,11
stable_urban_core_active_denominator,Coherent,2004,4
stable_urban_core_active_denominator,Coherent,2005,7
stable_urban_core_active_denominator,Coherent,2006,13
stable_urban_core_active_denominator,Coherent,2007,7
stable_urban_core_active_denominator,Coherent,2008,1
stable_urban_core_active_denominator,Coherent,2009,5
stable_urban_core_active_denominator,Coherent,2010,68
stable_urban_core_active_denominator,Coherent,2011,11
stable_urban_core_active_denominator,Coherent,2012,7
stable_urban_core_active_denominator,Coherent,2013,7
stable_urban_core_active_denominator,Coherent,2014,4
stable_urban_core_active_denominator,Coherent,2015,13
stable_urban_core_active_denominator,Coherent,2016,62
stable_urban_core_active_denominator,Coherent,2017,38
stable_urban_core_active_denominator,Coherent,2018,42
stable_urban_core_active_denominator,Coherent,2019,53
stable_urban_core_active_denominator,Coherent,2020,60
stable_urban_core_active_denominator,Coherent,2021,18
stable_urban_core_active_denominator,Coherent,2022,59
stable_urban_core_active_denominator,Coherent,2023,158
stable_urban_core_active_denominator,Coherent,2024,29
stable_urban_core_active_denominator,Dipole,2000,12
stable_urban_core_active_denominator,Dipole,2001,8
stable_urban_core_active_denominator,Dipole,2002,20
stable_urban_core_active_denominator,Dipole,2003,22
stable_urban_core_active_denominator,Dipole,2004,15
stable_urban_core_active_denominator,Dipole,2005,16
stable_urban_core_active_denominator,Dipole,2006,15
stable_urban_core_active_denominator,Dipole,2007,12
stable_urban_core_active_denominator,Dipole,2008,5
stable_urban_core_active_denominator,Dipole,2009,6
stable_urban_core_active_denominator,Dipole,2010,35
stable_urban_core_active_denominator,Dipole,2011,7
stable_urban_core_active_denominator,Dipole,2012,19
stable_urban_core_active_denominator,Dipole,2013,20
stable_urban_core_active_denominator,Dipole,2014,10
stable_urban_core_active_denominator,Dipole,2015,14
stable_urban_core_active_denominator,Dipole,2016,8
stable_urban_core_active_denominator,Dipole,2017,13
stable_urban_core_active_denominator,Dipole,2018,5
stable_urban_core_active_denominator,Dipole,2019,12
stable_urban_core_active_denominator,Dipole,2020,16
stable_urban_core_active_denominator,Dipole,2021,13
stable_urban_core_active_denominator,Dipole,2022,7
stable_urban_core_active_denominator,Dipole,2023,20
stable_urban_core_active_denominator,Dipole,2024,1
stable_urban_core_fixed_denominator,Coherent,2000,1
stable_urban_core_fixed_denominator,Coherent,2001,1
stable_urban_core_fixed_denominator,Coherent,2002,2
stable_urban_core_fixed_denominator,Coherent,2003,3
stable_urban_core_fixed_denominator,Coherent,2004,0
stable_urban_core_fixed_denominator,Coherent,2005,2
stable_urban_core_fixed_denominator,Coherent,2006,12
stable_urban_core_fixed_denominator,Coherent,2007,6
stable_urban_core_fixed_denominator,Coherent,2008,1
stable_urban_core_fixed_denominator,Coherent,2009,4
stable_urban_core_fixed_denominator,Coherent,2010,19
stable_urban_core_fixed_denominator,Coherent,2011,3
stable_urban_core_fixed_denominator,Coherent,2012,3
stable_urban_core_fixed_denominator,Coherent,2013,2
stable_urban_core_fixed_denominator,Coherent,2014,0
stable_urban_core_fixed_denominator,Coherent,2015,5
stable_urban_core_fixed_denominator,Coherent,2016,8
stable_urban_core_fixed_denominator,Coherent,2017,10
stable_urban_core_fixed_denominator,Coherent,2018,33
stable_urban_core_fixed_denominator,Coherent,2019,24
stable_urban_core_fixed_denominator,Coherent,2020,21
stable_urban_core_fixed_denominator,Coherent,2021,9
stable_urban_core_fixed_denominator,Coherent,2022,37
stable_urban_core_fixed_denominator,Coherent,2023,92
stable_urban_core_fixed_denominator,Coherent,2024,9
stable_urban_core_fixed_denominator,Dipole,2000,0
stable_urban_core_fixed_denominator,Dipole,2001,2
stable_urban_core_fixed_denominator,Dipole,2002,13
stable_urban_core_fixed_denominator,Dipole,2003,14
stable_urban_core_fixed_denominator,Dipole,2004,4
stable_urban_core_fixed_denominator,Dipole,2005,2
stable_urban_core_fixed_denominator,Dipole,2006,5
stable_urban_core_fixed_denominator,Dipole,2007,2
stable_urban_core_fixed_denominator,Dipole,2008,0
stable_urban_core_fixed_denominator,Dipole,2009,3
stable_urban_core_fixed_denominator,Dipole,2010,25
stable_urban_core_fixed_denominator,Dipole,2011,6
stable_urban_core_fixed_denominator,Dipole,2012,10
stable_urban_core_fixed_denominator,Dipole,2013,15
stable_urban_core_fixed_denominator,Dipole,2014,4
stable_urban_core_fixed_denominator,Dipole,2015,10
stable_urban_core_fixed_denominator,Dipole,2016,4
stable_urban_core_fixed_denominator,Dipole,2017,1
stable_urban_core_fixed_denominator,Dipole,2018,2
stable_urban_core_fixed_denominator,Dipole,2019,7
stable_urban_core_fixed_denominator,Dipole,2020,3
stable_urban_core_fixed_denominator,Dipole,2021,6
stable_urban_core_fixed_denominator,Dipole,2022,5
stable_urban_core_fixed_denominator,Dipole,2023,3
stable_urban_core_fixed_denominator,Dipole,2024,1
